gid;nom;arrete_pref_numero;xy_precis;id_adr;adr_num;adr_voie;com_cp;com_insee;com_nom;lat_coor1;long_coor1;structure_siren;structure_type;structure_rais;structure_num;structure_voie;structure_cp;structure_insee;structure_com;_userid_creation;_userid_modification;_edit_datemaj;lieu_accessibilite;rdv_lundi;rdv_mardi;rdv_mercredi;rdv_jeudi;rdv_vendredi;rdv_samedi;rdv_dimanche;rdv;date_fermeture;date_ouverture;rdv_site_web;rdv_tel;rdv_tel2;rdv_modalites;rdv_consultation_prevaccination;centre_svi_repondeur;centre_fermeture;reserve_professionels_sante;centre_type
1753;vaccinobus;;0.99999969463799;21355_1200;;;21600;21355;Longvic;47.2851;5.06124;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;;;;;;18184;18184;2021-04-14 10:18:19.319775;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;t;;;;;;;t;f;t;f;"{""Equipe mobile""}"
2192;Centre de vaccination Domec Carcassonne;;0.99999902493722;11069_1820_00003;3;Avenue du General Sarrail;11000;11069;Carcassonne;43.2178;2.36445;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;18091;18091;2021-05-31 20:00:03.487458;oui;9:00-18:00;9:00-18:00;9:00-18:00;9:00-18:00;9:00-18:00;9:00-18:00;9:00-18:00;t;;2021-04-19;https://partners.doctolib.fr/centre-de-sante/carcassonne/centre-de-vaccination-covid-19-domec-carcassonne?pid=practice-181854&enable_cookies_consent=1;+33800541919;;;t;f;f;;"{""Grand centre""}"
1737;RETIERS - Salle polyvalente;;0.99999992044861;35239_0680_00002;2;Rue Victor Hugo;35240;35239;Retiers;47.9125;-1.37812;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;PL DES COLOMBES;35000;35238;RENNES;18078;18;2021-05-10 10:07:18.964248;;9h-19h;9h-19h;9h-19h;9h-19h;9h-19h;9h-19h;fermé;;;2021-03-15;https://www.maiia.com/centre-de-vaccination/35240-retiers/centre-de-vaccination-territorial-de-retiers-;+33805690821;;;;;f;;
355;CH Jean Coulon - Gourdon;;0.99999993815908;46127_0660_01116;Foyer Daniel ROQUES ;rue hivernerie;46300;46127;Gourdon;44.7375;1.37941;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;11;18080;2021-05-31 20:00:02.448255;;14:00-17:00;9:00-17:00;9:00-17:00;9:00-17:00;9:00-14:00;fermé;fermé;t;;2021-01-13;https://partners.doctolib.fr/hopital-public/gourdon/vaccination-covid-ch-gourdon?speciality_id=5494&enable_cookies_consent=1;+33800541919;;;t;;;;"{""Séc. Civ. concourant""}"
359;MSP SAINT CHELY D'APCHER - Maison des services;;0.99999996499591;48090_0001_00004;;Route de saugues;48140;48090;Le Malzieu-Ville;44.8558;3.33208;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;11;322;2021-05-31 20:00:02.44938;;8:00-10:00;fermé;fermé;10:00-12:00;10:00-12:00;fermé;fermé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-sante/le-malzieu-ville/centre-de-vaccination-nord-lozere?speciality_id=5494&enable_cookies_consent=1;+33800541919;;;;;;;{}
1741;Centre de vaccination de Trebes;;0.99999999222491;11397_0192_00012_a;1;Avenue Pierre Curie;11800;11397;Trèbes;43.2096;2.4448;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;18091;18091;2021-05-31 20:00:03.316376;;fermé;8:00-12:00;14:00-18:00;8:00-12:00;fermé;fermé;fermé;t;;2021-03-16;https://partners.doctolib.fr/cabinet-medical/trebes/centre-de-vaccination-de-trebes?pid=practice-173016&enable_cookies_consent=1;+33800541919;;;t;;;;
1752;Centre de vaccination de Rémilly;;0.99999999050858;57572_0030_00008;;Route de Bechy;57580;57572;Rémilly;49.008;6.39542;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;14476;14476;2021-05-31 20:00:03.320143;;9:00-17:00;9:00-17:00;9:00-17:00;9:00-17:00;9:00-17:00;9:00-17:00;fermé;t;;;https://partners.doctolib.fr/centre-de-sante/remilly/centre-de-vaccination-covid-19-remilly-moselle-57?pid=practice-173661&enable_cookies_consent=1;+33387345345;;;;;;;{}
681;Centre de vaccination de Vienne - Manège;38-2021-01-28-001;1;38544_0710_00030;30;Avenue Général Leclerc;38200;38544;Vienne;45.5132;4.86576;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;173;173;2021-02-22 09:45:45.596623;;09:00-12:00/13:30-16:30;fermé;09:00-12:00/13:30-16:30;fermé;09:00-15:00;fermé;fermé;t;;2021-01-15;https://vaccination-covid.keldoc.com/centre-hospitalier/vienne-38200/cegidd/cegidd-du-chu-grenoble;+33476003134;;;t;t;f;;{}
1657;Centre de vaccination - Centre municipal de santé;;1;93063_0620_00052;39;Allée Bellevue;93230;93063;Romainville;48.8862;2.44059;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18279;18279;2021-04-06 15:57:16.189623;;9h-17h;9h-17h;9h-17h;9h-17h;9h-17h;9h-17h;fermé;t;;2021-03-08;https://www.maiia.com/centre-de-vaccination/93230-romainville/centre-de-vaccination-de-romainville;01 41 83 17 85;;;t;;f;f;{}
1109;Centre de vaccination - CPTS Lievin Pays d'Artois, Salle Gilbert Régnier;;0.99999993190956;62510_2490_00222;;Rue Montgolfier;62800;62510;Liévin;50.4264;2.77861;130007974;8412Z;AGENCE REGIONALE DE SANTE HAUTS-DE-FRANCE;556;AV WILLY BRANDT;59777;59350;LILLE;101;101;2021-02-04 17:01:56.701402;;12:00-20:00;12:00-20:00;12:00-20:00;12:00-20:00;12:00-20:00;12:00-16:00;fermé;;;2021-01-22;https://www.maiia.com/centre-de-vaccination/62800-lievin/centre-de-vaccination-lievin-pays-dartois;;;;;;;;{}
2479;Centre de vaccination COVID Ad Hoc de Lanslebourg;;0.99999989950051;73143_0080_00043;43;R des Jardins;73480;73290;Val-Cenis;45.286;6.88195;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;8130;8130;2021-05-31 20:00:03.686337;;fermé;fermé;fermé;fermé;fermé;14:00-18:00;fermé;t;;2021-04-19;https://partners.doctolib.fr/vaccination-covid-19/val-cenis/centre-de-vaccination-covid-19-val-cenis?pid=practice-187225&enable_cookies_consent=1;;;;;;f;f;
1727;Centre départemental de dépistage et de soins - site d'Argenteuil;;0.99999897329069;95018_2802_00007;11;rue Jean Lurcat;95100;95018;Argenteuil;48.9523;2.22773;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18250;126;2021-03-10 16:11:37.47538;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;2021-03-09;;;;;;;t;;{}
1746;EMV Domicile COORDINOV;;1;95476_0640_00012;12;Chaussée Jules César;95520;95476;Osny;49.0508;2.0713;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18250;18250;2021-03-09 12:11:27.008489;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;2021-03-08;;;;;;;t;;{}
1747;EMV Domicile Opalia;;0.99999991646474;95585_0610_00010;10;Avenue Charles Péguy;95200;95585;Sarcelles;48.9813;2.37473;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18250;18250;2021-03-09 12:13:58.021987;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;2021-03-08;;;;;;;t;;{}
364;MSP Les Angles;;0.99999033700591;66004_0089_00025;;Route de la Foret;66210;66004;Les Angles;42.5856;2.08671;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;11;18084;2021-05-31 20:00:02.454902;oui;09:00-12:00/14:00-18:00;09:00-12:00/14:00-18:00;09:00-12:00/14:00-18:00;09:00-12:00/14:00-18:00;09:00-12:00/14:00-18:00;09:00-12:00/14:00-18:00;09:00-12:00/14:00-18:00;t;;2021-01-11;https://partners.doctolib.fr/maison-de-sante/les-angles/maison-de-sante-capcir-haut-conflent?speciality_id=5494&enable_cookies_consent=1;+33800541919;;;t;;;;{}
370;CH Castres;;0.99999999250845;81065_2692_00006;6;Avenue de la Montagne Noire;81100;81065;Castres;43.5657;2.26272;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;11;20101;2021-05-31 20:00:02.459183;;08:30-20:30;08:30-20:30;08:30-20:30;08:30-20:30;08:30-20:30;10:00-18:00;fermé;t;;2021-01-08;https://partners.doctolib.fr/hopital-public/castres/chic-castres-mazamet-centre-de-vaccination?speciality_id=5494&pid=practice-164002&enable_cookies_consent=1;+33800541919;;;t;;;;"{""Séc. Civ. concourant""}"
1700;Brezolles- CV éphémère - Gymnase;;0.99999999609152;28059_b040_00001_bis;Gymnase Martiel Taugourdeau;Route de Nonancourt;28270;28059;Brezolles;48.6904;1.07309;130007842;8412Z;AGENCE REGIONALE DE SANTE DU CENTRE-VAL DE LOIRE;131;RUE DU FAUBOURG BANNIER;45000;45234;ORLEANS;18192;18192;2021-05-04 09:39:53.009428;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;2021-03-25;;;;;;;t;;
2164;Grand centre Perpignan;;1;66136_3692_00012;12;Avenue du Palais des Expositions;66000;66136;Perpignan;42.7047;2.89341;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;18084;18084;2021-05-31 20:00:03.497248;oui;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;t;;2021-04-09;https://partners.doctolib.fr/centre-de-sante/perpignan/centre-de-vaccination-covid-19-palais-des-expositions?pid=practice-180462&enable_cookies_consent=1;;;;t;;f;f;{}
1554;EMV - Opérations QPV - DASES;;0.99999998455546;75112_8037_00094;94;Quai de la Rapée;75012;75112;Paris;48.8455;2.36833;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;DU LANDY RUE;93200;93066;SAINT-DENIS;18157;18157;2021-05-06 16:22:55.017216;EMV;fermé;fermé;fermé;fermé;fermé;fermé;fermé;f;;2021-03-01;;;;EMV - non ouvert à la réservation;;f;t;f;"{""Equipe mobile""}"
1215;LORIENT - Cité de la Voile;;0.99999785739967;56121_2568_00013;;Rue Roland Morillot;56323;56121;Lorient;47.7306;-3.374;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;PL DES COLOMBES;35000;35238;RENNES;18;18078;2021-03-16 09:52:27.318488;;9h-17h;9h-17h;9h-17h;9h-17h;9h-17h;fermé;fermé;;;2021-01-25;https://vaccination-covid.keldoc.com/centre-hospitalier-regional/lorient-56100/groupe-hospitalier-bretagne-sud-lorient-hopital-du-scorff?specialty=144 ;+33297069794;;;;;;;{}
763;Maison des activités de Nozay;;0.9999999951132;91458_0008_00005;8;chemin belle épine;91620;91458;Nozay;48.6567;2.24157;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18064;18193;2021-02-08 10:32:59.596074;;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;fermé;fermé;t;;2021-01-18;https://www.maiia.com/centre-de-vaccination/91620-nozay/centre-de-vaccination-covid---msp-de-nozay;01.60.82.56.82;;;t;;;;{}
1728;Centre départemental de dépistage et de soins - site de Cergy;;0.99999861877468;95127_1231_00002;3;Place de la Pergola;95000;95127;Cergy;49.0354;2.07883;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18250;18250;2021-03-17 15:02:52.443204;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;2021-03-16;;;;;;;t;;{}
1754;antenne MSP Charlieu ;;0.99999998759609;42052_0610_00007;7;Rue Saint-Eloi;42190;42052;Charlieu;46.1596;4.17252;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;315;315;2021-03-30 12:13:18.779209;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;;;;;;;;t;;{}
1729;Centre départemental de dépistage et de soins - site de Garges-lès-Gonesse;;0.99999993730091;95268_0262_00001;4;Avenue Anatole France;95140;95268;Garges-lès-Gonesse;48.9766;2.39201;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18250;18250;2021-03-11 15:11:09.339857;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;2021-03-11;;;;;;;t;;{}
2312;Centre de vaccination de Bourbon-Lancy;;0.999999174921;71047_1940_00025;;Salle Gouthéraut - Rue Max Boirot;71140;71047;Bourbon-Lancy;46.6266;3.76091;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;2;PL DES SAVOIRS;21000;21231;DIJON;82;82;2021-05-31 20:00:03.556803;;09:00-18:00;09:00-18:00;09:00-18:00;09:00-18:00;09:00-18:00;fermé;fermé;;;2021-04-12;https://partners.doctolib.fr/centre-de-sante/bourbon-lancy/centre-de-vaccination-covid-19-de-bourbon-lancy?pid=practice-178057&enable_cookies_consent=1;+33385908741;;;;;f;;
1701;Maintenon CV éphémère;;0.99999994178606;28227_0055_00001_ter;Gymnase du collège;Rue Jean d'Ayen;28130;28227;Maintenon;48.5871;1.57765;130007842;8412Z;AGENCE REGIONALE DE SANTE DU CENTRE-VAL DE LOIRE;131;RUE DU FAUBOURG BANNIER;45000;45234;ORLEANS;18192;18192;2021-05-04 09:43:33.03505;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;2021-03-18;;;;;;;t;;
2313;Centre de vaccination de La Clayette - Salle des fêtes;;0.99999998612529;71133_0300_00080;;80 rue Lamartine;71800;71133;La Clayette;46.2902;4.31761;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;2;PL DES SAVOIRS;21000;21231;DIJON;82;23076;2021-05-31 20:00:03.558758;;09:00-18:00;09:00-18:00;09:00-18:00;09:00-18:00;09:00-18:00;fermé;fermé;;;2021-04-12;https://partners.doctolib.fr/centre-de-sante/la-clayette/centre-de-vaccination-covid-19-de-la-clayette?pid=practice-178056&enable_cookies_consent=1;+33385908741;;;;;f;;
1555;Centre de vaccination de Freyming Merlebach - Salle Vouters;;0.99999965077049;57240_0910_00030;;Rue de la frontière;57800;57240;Freyming-Merlebach;49.1499;6.80504;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;JOFFRE BD;54000;54395;NANCY;14476;14476;2021-05-31 20:00:03.215771;;9:00-17:00;9:00-17:00;9:00-17:00;9:00-17:00;9:00-17:00;9:00-17:00;fermé;t;;;https://partners.doctolib.fr/centre-de-vaccinations-internationales/freyming-merlebach/centre-de-vaccination-covid-19-vouters?pid=practice-172597&enable_cookies_consent=1;+33387345345 ;;;;;;;{}
383;Centre de vaccination - CH LE CATEAU;;0.99999962201907;59136_0670_00028;28;Boulevard Paturle;59360;59136;Le Cateau-Cambrésis;50.1051;3.53562;130007974;8412Z;AGENCE REGIONALE DE SANTE HAUTS-DE-FRANCE;556;AV WILLY BRANDT;59777;59350;LILLE;101;101;2021-05-31 20:00:02.469435;;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00;fermé;t;;2021-01-13;https://partners.doctolib.fr/hopital-public/le-cateau-cambrésis/ch-le-cateau-centre-vaccination-covid-19?speciality_id=5494&enable_cookies_consent=1;+33392043471 ;;;;;;;{}
1743;Centre de vaccination de Lembeye - VACCI VIC BILH;;0.99999996791189;64331_0195_00037;37;Place du Marcadieu;64350;64331;Lembeye;43.4495;-0.112178;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;18109;20801;2021-05-31 20:00:03.318242;Oui;13:00 - 17:00;13:00 - 17:00;13:00 - 17:00;13:00 - 17:00;13:00 - 17:00;fermé;fermé;t;;2021-03-15;https://partners.doctolib.fr/centre-de-sante/lembeye/centre-de-vaccination-vacci-vic-bilh?pid=practice-175740&enable_cookies_consent=1;+33672878578;;;t;f;f;f;{}
1748;Centre de vaccination COVID 19 : Site de Mare à vieille place;;0.99999943113493;97421_0187_00001;159;rue du pere Castagnan;97433;97421;Salazie;-21.0278;55.5058;130026057;8412Z;AGENCE REGIONALE DE SANTE DE LA REUNION;2;AV GEORGES BRASSENS;97490;97411;SAINT-DENIS;14523;14523;2021-03-24 16:33:28.808615;;fermé;fermé;08h30 12h - 14h 17h30;fermé;fermé;fermé;fermé;t;2021-03-24;2021-03-24;https://vaccination-covid.keldoc.com/cabinet-medical/saint-benoit-97437/centre-de-vaccination-ephemere-case-de-mare-a-vieille-place;+262262724720;;Centre de vaccination éphémère;f;t;t;f;{}
1659;Centre de vaccination - Hôtel de ville;;0.99999973376511;93048_4740_00001;1;Place Jean Jaures;93100;93048;Montreuil;48.8621;2.44139;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18279;18279;2021-05-31 20:00:03.26491;;9h-17h;9h-17h;9h-17h;9h-17h;9h-17h;9H-17H;fermé;t;;2021-03-08;https://partners.doctolib.fr/centre-de-sante/montreuil/centre-de-vaccination-de-la-ville-de-montreuil?pid=practice-175106&enable_cookies_consent=1;01 48 70 69 88;;;t;;f;f;{}
1556;EMV Lagny;;0.99999992701037;77243_0516_00033;33;Rue Emmanuel Grévin;77400;77243;Lagny-sur-Marne;48.8669;2.71248;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;DU LANDY RUE;93200;93066;SAINT-DENIS;18903;18903;2021-02-24 17:12:59.718938;EMV;fermé;fermé;fermé;fermé;fermé;fermé;fermé;f;;2021-03-01;;;;EMV-non ouvert à la réservation;;f;t;;{}
1744;Centre de vaccination - Gymnase Guimier;;0.99999983883599;93073_0673_00068_bis;70;Avenue Gilbert Berger;93290;93073;Tremblay-en-France;48.9505;2.5794;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18279;18279;2021-05-31 20:00:03.319129;;9h-17h;9h-17h;9h-17h;9h-17h;9h-17h;9h-17h;fermé;t;;2021-03-11;https://partners.doctolib.fr/centre-de-sante/tremblay-en-france/gymnase-jean-guimier-centre-de-vaccination-covid-19?pid=practice-175982&enable_cookies_consent=1;;;;t;;f;f;{}
1749;EMV Domicile Joséphine;;1;95598_1140_00055;55;Avenue de Paris;95230;95598;Soisy-sous-Montmorency;48.9887;2.29268;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18250;18918;2021-04-17 12:48:01.878513;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;2021-03-08;;;;;;;t;;"{""Equipe mobile""}"
1761;EMV Jean Verdier;;0.99999887476387;93010_0065_00002;2;Rue Arthur Groussier;93140;93010;Bondy;48.9094;2.4887;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;20132;18279;2021-05-04 10:44:38.619636;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;t;;2021-03-10;;;;;;;t;f;"{""Equipe mobile""}"
1760;EMV Avicennes;;0.99999960995543;93008_4725_00034;34;Rue Jean Grémillon;93000;93008;Bobigny;48.9151;2.42826;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;20132;18279;2021-05-04 10:47:47.901175;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;t;;2021-03-10;;;;;;;t;f;"{""Equipe mobile""}"
1660;EMV Romainville;;0.99999998957094;93063_8840_00091;91;Rue Saint - Germain;93230;93063;Romainville;48.8804;2.43039;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18279;18279;2021-05-07 16:27:27.138249;EMV;fermé;fermé;fermé;fermé;fermé;fermé;fermé;f;;;;;;EMV non ouvert à la réservation;;;t;;
1755;antenne MSP Ambierle ;;0.99999995328663;42003_18vcoz_00015;15;Cr Saint Charles;42820;42003;Ambierle;46.1042;3.89567;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;315;315;2021-05-31 20:00:03.320976;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;;https://partners.doctolib.fr/centre-de-vaccinations-internationales/ambierle/centre-de-vaccination-covid-19-msp-d-ambierle?pid=practice-175394&enable_cookies_consent=1;;;;;;t;;{}
2642;centre de vigneux-sur-seine;;0.99999999992256;91657_2140_00001;1;Rue du Marechal Leclerc;91270;91657;Vigneux-sur-Seine;48.7065;2.42333;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18193;126;2021-05-27 13:59:52.409301;;fermé;fermé;fermé;fermé;fermé;10h-18h;10H-18H;t;2021-05-31;2021-05-29;Doctolib;;;;t;f;f;f;
2655;Centre de vaccination Lacapelle-Marival;;0.9999977578953;46143_0050;;;46120;46143;Lacapelle-Marival;44.7282;1.92801;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;18080;18080;2021-05-31 16:31:31.680061;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;t;;2021-05-03;;;;;t;;t;f;
1217;Site de Bois-Guillaume;;0.99999989018313;76108_0490_01465;1530;Rue de la Haie;76230;76108;Bois-Guillaume;49.4684;1.11628;130007909;8412Z;AGENCE REGIONALE DE SANTE NORMANDIE;2;PL JEAN NOUZILLE;14000;14118;CAEN;11533;11533;2021-05-31 20:00:03.032554;;;;;;;;;t;;2021-01-20;https://partners.doctolib.fr/hopital-public/rouen/chu-de-rouen-centre-de-vaccination?pid=practice-162659&enable_cookies_consent=1;+33279461156;;;;;;;{}
1524;Centre de vaccination multisites UGECAM (Centres médicaux Masevaux, Jungholtz, Bouxwiller);;1;68049_shfgg4_00070;;Luppach;68480;68049;Bouxwiller;47.5067;7.33145;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;JOFFRE BD;54000;54395;NANCY;14476;14476;2021-05-31 20:00:03.205785;;14:30-17:30;8:30-16:00;8:30-16:00;8:30-16:00;8:30-12:30;fermé;fermé;;;2021-02-22;https://partners.doctolib.fr/centre-de-vaccinations-internationales/haut-rhin/centres-de-vaccination-covid-19-ugecam-haut-rhin?pid=practice-170520&enable_cookies_consent=1;+33970818161;;;;;;;
718;CDV31 Cazères;;0.99999959067213;31135_0078_00007;7;Rue des Capucins;31220;31135;Cazères;43.2035;1.0844;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;18108;11;2021-03-08 09:40:38.231594;oui;14:00-18:00;14:00-18:00;14:00-18:00;14:00-18:00;14:00-18:00;fermé;fermé;t;;2021-01-18;https://vaccination-covid.keldoc.com/cabinet-medical/cazeres-31220/cazeres/centre-de-vaccination-de-cazeres;+33800541919;;;t;;;;{}
1730;CPAM Grigny;;1;91286_0400_00009;9;Rue Gabriel Péri;91350;91286;Grigny;48.6569;2.38657;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18193;18193;2021-03-08 17:26:24.64733;EMV;fermé;fermé;fermé;fermé;fermé;fermé;fermé;f;;2021-03-12;;;;EMV - non ouvert à la réservation;;f;t;;{}
1661;Ville d'Antony Bourg La Reine Sceaux;;0.99999986777665;92002_7249_00024;;Place des anciens combattants d'afrique du Nord;92160;92002;Antony;48.7501;2.30113;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18247;20840;2021-05-31 20:00:03.265661;;8h00 - 20h00;8h00 - 20h00;8h00 - 20h00;8h00 - 20h00;8h00 - 20h00;8h00 - 20h00;fermé;t;;2021-03-15;https://partners.doctolib.fr/centre-de-sante/antony/centre-de-vaccination-antony-bourg-la-reine-sceaux?pid=practice-140632&enable_cookies_consent=1;0140966869;0140966870;;t;;t;f;
1100;Centre de vaccination - CHIMR EHPAD Lucien Vivien;;0.99999995307352;80561_0070_00025;25;Rue Amand de Vienne;80500;80561;Montdidier;49.6478;2.5742;130007974;8412Z;AGENCE REGIONALE DE SANTE HAUTS-DE-FRANCE;556;AV WILLY BRANDT;59777;59350;LILLE;101;101;2021-02-08 14:07:18.672964;;fermé;13:00-17:00;fermé;09:00-17:00;fermé;fermé;fermé;t;;2021-01-14;https://vaccination-covid.keldoc.com/centre-hospitalier/montdidier-80500/centre-hospitalier-montdidier-roye-ehpad-lucien-vivien/centre-de-vaccination-du-centre-hospitalier-montdidier-roye-ehpad-lucien-vivien;+33392043171;;;;;;;{}
2253;Centre de vaccination SDIS de Chauvigny;;0.99999998408177;86070_3430_00008;8;Avenue de la Vienne - salle de la Poterie;86300;86070;Chauvigny;46.5664;0.642697;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;18326;51;2021-05-31 20:00:03.524182;oui;fermé;09:00-13h00/14h00-18h00;09:00-13h00/14h00-18h00;09:00-13h00/14h00-18h00;09:00-13h00/14h00-18h00;09:00-13h00/14h00-18h00;09:00-13h00/14h00-18h00;t;;2021-03-30;https://partners.doctolib.fr/centre-de-sante/chauvigny/centre-de-vaccination-covid-19-sdis-86?pid=practice-179211&enable_cookies_consent=1;;;;t;;;;"{""Sécurité Civile""}"
748;CDV31 Auterive;;0.99999998281597;31033_0170_00007;8;Rue Michelet;31190;31033;Auterive;43.3506;1.48377;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;18108;18108;2021-02-11 11:30:24.294542;;08:00-12:00;08:00-12:00;08:00-12:00;08:00-12:00;08:00-12:00;fermé;fermé;t;;2021-01-18;https://vaccination-covid.keldoc.com/cabinet-medical/auterive-31190/auterive/centre-de-vaccination-de-auterive;+33800541919;;;t;;;;{}
